ID,Prioritat,Bloc,Prova,Passos,Resultat esperat,Estat,Responsable,Data prova,Resultat real,KO detallat,Observacions
API-001,Alta,API,"Navigation menu ADMIN","Cridar /api/navigation/menu autenticat com ADMIN","Retorna menú amb home, places, favorites, help i admin",PENDENT,,,,
API-002,Alta,API,"Admin users endpoint","Cridar /api/admin/users com ADMIN","Resposta 200 OK",PENDENT,,,,
API-003,Alta,API,"Admin permissions endpoint","Cridar /api/admin/permissions com ADMIN","Resposta 200 OK",PENDENT,,,,
API-004,Alta,API,"Admin menus endpoint","Cridar /api/admin/menus com ADMIN","Resposta 200 OK",PENDENT,,,,
API-005,Alta,API,"Admin documents endpoint","Cridar /api/admin/documents com ADMIN","Resposta 200 OK",PENDENT,,,,
API-006,Alta,API,"Admin security USER","Cridar endpoints /api/admin/* com USER","Resposta 403 Forbidden",PENDENT,,,,
DATA-001,Alta,BBDD,"Taules menús","Revisar BBDD","Existeixen menus i menu_roles",PENDENT,,,,
DATA-002,Alta,BBDD,"Persistència menús","Crear o editar menú, reiniciar API i tornar a revisar","Els canvis es mantenen a BBDD",PENDENT,,,,
DATA-003,Alta,BBDD,"Persistència permisos","Editar permisos, reiniciar API i tornar a revisar","Els canvis es mantenen a BBDD",PENDENT,,,,
SESSION-001,Mitja,Sessió,"Refresc complet","Fer Ctrl+Shift+R després de canvis de permisos o menús","La capçalera es reconstrueix correctament",PENDENT,,,,
SESSION-002,Alta,Sessió,"Sense sessió","Tancar sessió i provar ruta protegida","Redirecció a login",PENDENT,,,,
